sample_id,phenotype
SIM0186,-1.6089
SIM0187,-0.4669
SIM0188,2.9067
SIM0189,2.2870
SIM0190,3.6583
SIM0191,-1.0986
SIM0192,0.0171
SIM0193,4.0578
SIM0194,1.6606
SIM0195,3.7985
SIM0196,2.0292
SIM0197,2.8934
SIM0198,1.5066
SIM0199,2.7437
SIM0200,-0.9705
SIM0201,1.1409
SIM0202,1.1617
SIM0203,1.5500
SIM0204,-0.3678
SIM0205,0.9212
SIM0206,8.2391
SIM0207,1.4223
SIM0208,2.7552
SIM0209,0.7988
SIM0210,1.9536
SIM0211,4.4186
SIM0212,0.8213
SIM0213,-0.3413
SIM0214,-1.8600
SIM0215,1.8947
SIM0216,1.9442
SIM0217,1.8932
SIM0218,2.1392
SIM0219,1.3712
SIM0220,1.3785
SIM0221,-0.0295
SIM0222,2.6981
SIM0223,-0.5267
SIM0224,1.6522
SIM0225,0.4806
SIM0226,0.9429
SIM0227,-2.2586
SIM0228,0.9177
SIM0229,0.1347
SIM0230,2.6748
SIM0231,2.5116
SIM0232,1.2191
SIM0233,3.3445
SIM0234,-1.3311
SIM0235,3.4069
SIM0236,-1.3897
SIM0237,-1.2257
SIM0238,3.0133
SIM0239,3.1032
SIM0240,1.4919
SIM0241,2.0749
SIM0242,2.6041
SIM0243,0.7940
SIM0244,-1.3446
SIM0245,1.1973
SIM0246,4.6446
SIM0247,0.9585
SIM0248,0.2192
SIM0249,0.2848
SIM0250,-2.1314
SIM0251,-1.3227
SIM0252,0.0684
SIM0253,3.3988
SIM0254,-1.2119
SIM0255,4.5668
SIM0256,-0.6165
SIM0257,2.1282
SIM0258,0.2438
SIM0259,-1.2839
SIM0260,5.2119
SIM0261,1.9928
SIM0262,0.1983
SIM0263,4.9063
SIM0264,-2.0900
SIM0265,1.9508
SIM0266,-0.2380
SIM0267,-0.8170
SIM0268,-1.9273
SIM0269,2.7536
SIM0270,4.1906
SIM0271,-0.2335
SIM0272,1.9265
SIM0273,2.2365
SIM0274,0.4808
SIM0275,0.3150
SIM0276,2.4208
SIM0277,0.9566
SIM0278,-1.1559
SIM0279,-0.7685
SIM0280,0.5885
SIM0281,1.7116
SIM0282,3.8662
SIM0283,1.3402
SIM0284,-1.2144
SIM0285,1.4067
SIM0286,2.0379
SIM0287,-0.0126
SIM0288,-0.5603
SIM0289,-1.9866
SIM0290,-0.5199
SIM0291,-0.4139
SIM0292,0.7588
SIM0293,0.1090
SIM0294,-2.0425
SIM0295,-0.6639
SIM0296,2.8466
SIM0297,-0.9962
SIM0298,-0.8509
SIM0299,1.4321
SIM0300,-1.6741
SIM0301,1.3921
SIM0302,2.8736
SIM0303,1.9189
SIM0304,-1.3821
SIM0305,-0.7582
SIM0306,2.2620
SIM0307,-0.2470
SIM0308,1.8178
SIM0309,3.8613
SIM0310,1.6875
SIM0311,-1.2711
SIM0312,2.8947
SIM0313,4.0649
SIM0314,3.6603
SIM0315,-0.0157
SIM0316,1.6967
SIM0317,0.5537
SIM0318,1.7180
SIM0319,2.8065
SIM0320,1.6588
SIM0321,-0.1779
SIM0322,1.6259
SIM0323,1.6525
SIM0324,3.2363
SIM0325,2.0565
SIM0326,2.7789
SIM0327,2.1849
SIM0328,4.2419
SIM0329,4.3599
SIM0330,1.3135
SIM0331,1.1516
SIM0332,0.3973
SIM0333,-1.2529
SIM0334,2.4741
SIM0335,-3.5658
SIM0336,2.1989
SIM0337,-1.2719
SIM0338,2.9053
SIM0339,2.3172
SIM0340,4.3619
SIM0341,0.3532
SIM0342,-1.4975
SIM0343,1.0234
SIM0344,2.3491
SIM0345,2.1510
SIM0346,1.4272
SIM0347,4.9377
SIM0348,-1.8611
SIM0349,0.4286
SIM0350,-1.4660
SIM0351,1.8880
SIM0352,2.9051
SIM0353,3.0634
SIM0354,0.3892
SIM0355,2.6537
SIM0356,1.5035
SIM0357,4.1627
SIM0358,-1.0846
SIM0359,0.4177
SIM0360,-0.4115
SIM0361,1.5308
SIM0362,-2.3572
SIM0363,3.4729
SIM0364,-0.3510
SIM0365,0.6439
SIM0366,2.0785
SIM0367,-1.9078
SIM0368,5.5038
SIM0369,3.3676
SIM0370,-0.9188
SIM0371,0.5785
SIM0372,2.0114
SIM0373,1.5638
SIM0374,2.1042
SIM0375,2.0526
SIM0376,0.9818
SIM0377,-2.0094
SIM0378,2.1587
SIM0379,-1.1258
SIM0380,0.3660
SIM0381,-0.5053
SIM0382,1.7161
SIM0383,-0.9547
SIM0384,-1.4582
SIM0385,-0.9111
SIM0386,-1.5377
SIM0387,0.8782
SIM0388,1.4192
SIM0389,2.2715
SIM0390,-1.2924
SIM0391,-0.3924
SIM0392,-2.7698
SIM0393,1.9027
SIM0394,-0.5663
SIM0395,2.2330
SIM0396,0.1687
SIM0397,-0.3079
SIM0398,3.6742
SIM0399,2.4471
