sample_id,phenotype
SIM0116,3.0131
SIM0117,-0.3763
SIM0118,-1.3035
SIM0119,-0.7934
SIM0120,-0.7748
SIM0121,-1.2351
SIM0122,-0.6835
SIM0123,-0.0331
SIM0124,-1.6397
SIM0125,-2.3655
SIM0126,2.1507
SIM0127,-1.3841
SIM0128,-1.5178
SIM0129,0.6391
SIM0130,-0.6781
SIM0131,-0.9116
SIM0132,-3.0295
SIM0133,-1.0148
SIM0134,-2.1823
SIM0135,3.2326
SIM0136,-1.4358
SIM0137,0.7098
SIM0138,1.5558
SIM0139,0.4474
SIM0140,-0.9864
SIM0141,2.5370
SIM0142,-0.7761
SIM0143,2.0687
SIM0144,0.5251
SIM0145,0.6162
SIM0146,-2.8230
SIM0147,0.1627
SIM0148,1.4040
SIM0149,-2.9667
SIM0150,3.7204
SIM0151,-1.8597
SIM0152,-0.8558
SIM0153,-0.9136
SIM0154,0.7197
SIM0155,-0.5905
SIM0156,-1.1790
SIM0157,-1.0914
SIM0158,0.4792
SIM0159,-1.9882
SIM0160,4.7576
SIM0161,0.9049
SIM0162,0.4935
SIM0163,0.6584
SIM0164,1.2064
SIM0165,-1.2642
SIM0166,-2.2356
SIM0167,1.6698
SIM0168,-2.1000
SIM0169,-1.6706
SIM0170,-2.2251
SIM0171,0.5601
SIM0172,0.4823
SIM0173,-0.3709
SIM0174,3.4377
SIM0175,-1.6326
SIM0176,-1.1730
SIM0177,-2.8413
SIM0178,0.5876
SIM0179,-1.7834
SIM0180,-1.8794
SIM0181,1.3008
SIM0182,-0.1745
SIM0183,-3.4993
SIM0184,-1.3489
SIM0185,-1.3660
SIM0186,1.0729
SIM0187,1.3442
SIM0188,1.1682
SIM0189,-2.0693
SIM0190,0.7289
SIM0191,0.1709
SIM0192,-0.8503
SIM0193,-0.8278
SIM0194,4.4590
SIM0195,-2.0444
SIM0196,0.2782
SIM0197,4.3404
SIM0198,-1.3576
SIM0199,-0.8935
SIM0200,-2.5153
SIM0201,0.5433
SIM0202,0.2808
SIM0203,-2.7000
SIM0204,2.3370
SIM0205,2.5540
SIM0206,0.5145
SIM0207,0.6199
SIM0208,-0.8730
SIM0209,0.6676
SIM0210,6.4042
SIM0211,-2.3710
SIM0212,0.9648
SIM0213,3.1675
SIM0214,-1.7246
SIM0215,-1.1507
SIM0216,-0.3220
SIM0217,-0.5289
SIM0218,0.3072
SIM0219,0.7005
SIM0220,-0.9939
SIM0221,-1.5413
SIM0222,0.3024
SIM0223,1.4760
SIM0224,2.6316
SIM0225,-1.9213
SIM0226,-0.8138
SIM0227,-1.9624
SIM0228,0.2533
SIM0229,-1.6865
SIM0230,-0.3653
SIM0231,1.2952
SIM0232,-2.6447
SIM0233,0.5302
SIM0234,0.5940
SIM0235,-1.0825
SIM0236,-3.6133
SIM0237,-2.9126
SIM0238,0.7391
SIM0239,1.2284
SIM0240,1.4788
SIM0241,2.0313
SIM0242,0.7547
SIM0243,1.5855
SIM0244,1.3093
SIM0245,3.0062
SIM0246,3.3261
SIM0247,-0.1874
SIM0248,-1.8574
SIM0249,-0.3294
SIM0250,1.6508
SIM0251,-1.0369
SIM0252,-1.7843
SIM0253,0.2943
SIM0254,-0.5585
SIM0255,-0.8304
SIM0256,3.7501
SIM0257,-0.4404
SIM0258,-0.0461
SIM0259,1.4152
SIM0260,0.1838
SIM0261,0.0203
SIM0262,1.1064
SIM0263,-1.3598
SIM0264,0.5625
SIM0265,-1.4172
SIM0266,2.4149
SIM0267,3.2518
SIM0268,-1.1346
SIM0269,1.3441
SIM0270,-3.5855
SIM0271,0.8839
SIM0272,-3.6533
SIM0273,-1.7344
SIM0274,0.7488
SIM0275,-2.8975
SIM0276,0.1615
SIM0277,0.0924
SIM0278,-2.2614
SIM0279,-1.6217
SIM0280,-0.5340
SIM0281,0.4172
SIM0282,-0.6112
SIM0283,-3.2830
SIM0284,-1.5257
SIM0285,-0.7834
SIM0286,0.8630
SIM0287,0.1262
SIM0288,-1.8830
SIM0289,4.0054
SIM0290,-1.0928
SIM0291,0.1015
SIM0292,-2.6990
SIM0293,-0.3171
SIM0294,0.5505
SIM0295,2.5048
SIM0296,0.1959
SIM0297,-2.7772
SIM0298,-0.4381
SIM0299,0.6591
